,MeasureTime,Angle_X_Lid_Tank101,Angle_Y_Lid_Tank101,AutoControl_Flow,AutoControl_Flow_manual,AutoControl_Level_Tank101_manual,AutoControl_Level_tank102,AutoControl_Level_tank102_manual,AutoControl_Pressure_Tank103,AutoControl_Pressure_Tank103_manual,Automatic_mode,Diagnosis_JN2200,Flow_FlowmeterB102,KQ1001_Level_B101,KQ1001_Level_B101_percent,KQ1001_Level_B102,KQ1001_Level_B102_percent,Level_Tank102,OUT1_JN2200,OUT2_JN2200,Pressure_Global_IO-Link,Pressure_Tank103,Selftest_running_JN2200,SetFlow,SetFlow_manual,SetPressureTank103,SetPressureTank103_manual,Set_Level_Tank101_manual,Set_PumpSpeed_P101,Set_level_tank102,Set_level_tank102_manual,Temperature_Tank101,Temperature_Tank102_IO-Link,V101_manual,V103_manual,V104_manual,V108_manual,V109_manual,V112_manual,V113_manual,V114_manual,V120_manual,Vibration_measurement_JN2200,set_valve_v106_open,set_valve_v106_open_manual,set_valve_y102_open,set_valve_y102_open_manual,Fault

0,2023-06-11 17:45:01,0.09,0.35,0,0,0,0,0,0,1,1,0,2.52,101.065994,25,98.89264,24,94.90385,0,0,2.06,111.72174,0,0,0,0,200,0,100.0,0,0,25.694445,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

1,2023-06-11 17:45:02,0.09,0.35,0,0,0,0,0,0,1,1,0,1.46,98.89264,24,98.89264,24,94.90385,0,0,2.06,192.8348,0,0,0,0,200,0,0.0,0,0,25.694445,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

2,2023-06-11 17:45:03,0.1,0.4,0,0,0,0,0,0,1,1,0,0.73,98.89264,24,98.89264,24,94.90385,0,0,2.06,229.05508,0,0,0,0,200,0,0.0,0,0,25.636574,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

3,2023-06-11 17:45:04,0.1,0.4,0,0,0,0,0,0,1,1,0,-0.57,98.89264,24,98.89264,24,94.90385,0,0,2.06,179.57101,0,0,0,0,200,0,100.0,0,0,25.694445,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

4,2023-06-11 17:45:05,0.09,0.35,0,0,0,0,0,0,1,1,0,0.56,98.89264,24,98.89264,24,94.90385,0,0,2.06,225.22899,0,0,0,0,200,0,0.0,0,0,25.694445,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

5,2023-06-11 17:45:06,0.09,0.35,0,0,0,0,0,0,0,1,0,-0.61,98.89264,24,98.89264,24,94.90385,0,0,2.06,193.85509,0,0,0,0,200,0,0.0,0,0,25.694445,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,2023-06-11 17:45:07,0.09,0.35,0,0,0,0,0,0,0,1,0,-0.13,98.89264,24,98.89264,24,94.90385,0,0,2.06,193.85509,0,0,0,0,200,0,0.0,0,0,25.636574,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,2023-06-11 17:45:08,0.09,0.35,0,0,0,0,0,0,1,1,0,0.4,98.89264,24,98.89264,24,94.90385,0,0,2.06,193.34494,0,0,0,0,200,0,100.0,0,0,25.694445,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

8,2023-06-11 17:45:09,0.09,0.35,0,0,0,0,0,0,0,1,0,-0.46,98.89264,24,98.89264,24,94.90385,0,0,2.06,172.68407,0,0,0,0,200,0,0.0,0,0,25.636574,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,2023-06-11 17:45:10,0.09,0.3,0,0,0,0,0,0,0,0,0,-0.1,98.89264,24,98.89264,24,94.90385,0,0,2.06,172.68407,0,0,0,0,200,0,0.0,0,0,25.636574,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

