,MeasureTime,Angle_X_Lid_Tank101,Angle_Y_Lid_Tank101,AutoControl_Flow,AutoControl_Flow_manual,AutoControl_Level_Tank101_manual,AutoControl_Level_tank102,AutoControl_Level_tank102_manual,AutoControl_Pressure_Tank103,AutoControl_Pressure_Tank103_manual,Automatic_mode,Diagnosis_JN2200,Flow_FlowmeterB102,KQ1001_Level_B101,KQ1001_Level_B101_percent,KQ1001_Level_B102,KQ1001_Level_B102_percent,Level_Tank102,OUT1_JN2200,OUT2_JN2200,Pressure_Global_IO-Link,Pressure_Tank103,Selftest_running_JN2200,SetFlow,SetFlow_manual,SetPressureTank103,SetPressureTank103_manual,Set_Level_Tank101_manual,Set_PumpSpeed_P101,Set_level_tank102,Set_level_tank102_manual,Temperature_Tank101,Temperature_Tank102_IO-Link,V101_manual,V103_manual,V104_manual,V108_manual,V109_manual,V112_manual,V113_manual,V114_manual,V120_manual,Vibration_measurement_JN2200,set_valve_v106_open,set_valve_v106_open_manual,set_valve_y102_open,set_valve_y102_open_manual,Fault

0,2023-06-11 14:58:05,0.09,0.35,0,0,0,0,0,0,1,1,0,1.61,107.50976,28,101.065994,25,95.07211,0,0,2.01,122.434784,0,0,0,0,200,0,100.0,0,0,25.405092,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

1,2023-06-11 14:58:06,0.09,0.35,0,0,0,0,0,0,1,1,0,1.66,107.50976,28,101.065994,25,94.90385,0,0,2.01,269.10147,0,0,0,0,200,0,97.52726,0,0,25.462963,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

2,2023-06-11 14:58:07,0.09,0.35,0,0,0,0,0,0,1,1,0,0.47,107.50976,28,98.89264,24,95.07211,0,0,2.01,261.95944,0,0,0,0,200,0,90.28835,0,0,25.405092,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

3,2023-06-11 14:58:08,0.09,0.35,0,0,0,0,0,0,1,1,0,0.0,107.50976,28,101.065994,25,95.07211,0,0,2.01,224.97392,0,0,0,0,200,0,86.06102,0,0,25.405092,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

4,2023-06-11 14:58:09,0.09,0.35,0,0,0,0,0,0,1,1,0,0.0,107.50976,28,98.89264,24,95.07211,0,0,2.01,218.85219,0,0,0,0,200,0,83.638084,0,0,25.347221,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
